contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
PRDKPRE,PRD On-time predecessor,2039-05-28,PredecessorTradeoff,PRD Non-live (Others),1,2040-06-17,2040-03-11,1,C,1
MPAKMX1,MPA Multipass contract MX1,2039-06-02,Synthetic,MPA Non-live (Others),1,2040-03-25,2040-01-08,1,PM,1
PCPKDIRECT,PCP ECLO cost contributor,2039-05-28,PostPrecedenceContractTradeoff,PCP Non-live (Others),1,2040-06-17,2040-01-29,1,PM,1
MPAKMX2,MPA Multipass contract MX2,2039-06-02,Synthetic,MPA Non-live (Others),1,2040-03-25,2040-01-08,1,PM,1
MPAKMY2,MPA Multipass contract MY2,2039-06-02,Synthetic,MPA Non-live (Others),1,2040-03-25,2040-01-08,1,PM,1
AGGKC3,AGG Aggregation contract KC3,2039-06-01,Synthetic,AGG Non-live (Others),3,2040-05-06,2040-03-25,1,PM,1
FPDKFOLLOW,FPD Competitor successor,2039-05-28,FootprintDependencyTradeoff,FPD Non-live (Others),3,2040-06-17,2040-03-11,1,C,1
IRRKIC34,IRR Irregular coupled IC34,2039-06-02,IrregularCoupled,IRR Non-live (Consist),3,2040-02-12,2040-01-15,1,C,1
PCPKPREPEER,PCP Predecessor of final contract peer,2039-05-28,PostPrecedenceContractTradeoff,PCP Non-live (Others),3,2040-06-17,2040-03-11,1,C,1
IRRKIPM6,IRR Irregular coupled IPM6,2039-06-02,IrregularCoupled,IRR Non-live (Consist),3,2040-02-12,2040-01-29,1,PM,1
PCPKCHAIN,PCP Successor and contract peer,2039-05-28,PostPrecedenceContractTradeoff,PCP Non-live (Others),1,2040-06-17,2040-02-12,1,C,1
FPDKDIRECT,FPD ECLO cost contributor,2039-05-28,FootprintDependencyTradeoff,FPD Non-live (Others),1,2040-06-17,2040-01-29,1,PM,1
IRRKIC12,IRR Irregular coupled IC12,2039-06-02,IrregularCoupled,IRR Non-live (Consist),3,2040-02-12,2040-01-15,1,C,1
PRDKLATE,PRD Priority successor,2039-05-28,PredecessorTradeoff,PRD Non-live (Others),3,2040-06-17,2040-01-22,1,C,1
IRRKIPC2,IRR Irregular coupled IPC2,2039-06-02,IrregularCoupled,IRR Non-live (Consist),3,2040-02-12,2040-01-15,1,PC,1
AGGKC2,AGG Aggregation contract KC2,2039-06-01,Synthetic,AGG Non-live (Others),2,2040-05-06,2040-02-26,1,PM,1
IRRKIC23,IRR Irregular coupled IC23,2039-06-02,IrregularCoupled,IRR Non-live (Consist),3,2040-02-12,2040-01-15,1,C,1
FPDKCOMP,FPD Footprint competitor,2039-05-28,FootprintDependencyTradeoff,FPD Non-live (Others),3,2040-06-17,2040-03-11,1,C,1
IRRKIPC4,IRR Irregular coupled IPC4,2039-06-02,IrregularCoupled,IRR Non-live (Consist),3,2040-02-12,2040-01-15,1,PC,1
MPAKMY1,MPA Multipass contract MY1,2039-06-02,Synthetic,MPA Non-live (Others),1,2040-03-25,2040-01-08,1,PM,1
PCPKCOMP,PCP Footprint competitor,2039-05-28,PostPrecedenceContractTradeoff,PCP Non-live (Others),3,2040-06-17,2040-03-11,1,C,1
AGGKC1,AGG Aggregation contract KC1,2039-06-01,Synthetic,AGG Non-live (Others),1,2040-05-06,2040-01-29,1,PM,1
IRRKIPC1,IRR Irregular coupled IPC1,2039-06-02,IrregularCoupled,IRR Non-live (Consist),3,2040-02-12,2040-01-15,1,PC,1
IRRKIPC3,IRR Irregular coupled IPC3,2039-06-02,IrregularCoupled,IRR Non-live (Consist),3,2040-02-12,2040-01-15,1,PC,1
